order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,2446,2025-05-22,457,8,417.52,3340.16,Completed,2025-05-24
2,6323,2025-03-07,80,6,59.93,359.58,Completed,2025-03-10
3,5554,2023-09-26,352,5,14.71,73.55,Pending,
4,5824,2023-02-15,46,7,11.92,83.44,Completed,2023-02-19
5,404,2024-04-02,392,10,57.66,576.6,Pending,
6,2847,2025-03-29,376,7,43.65,305.55,Cancelled,
7,392,2025-10-05,143,6,41.87,251.22,Pending,
8,9468,2024-05-24,316,5,23.39,116.95,Completed,2024-05-26
9,939,2025-09-13,243,3,205.9,617.7,Completed,2025-09-15
10,8352,2025-03-25,336,7,32.5,227.5,Pending,
11,8734,2024-06-23,392,10,57.66,576.6,Pending,
12,6517,2023-05-15,124,6,72.38,434.28,Pending,
13,8087,2023-11-07,246,3,128.09,384.27,Completed,2023-11-09
14,9080,2024-02-06,498,5,208.22,1041.1,Completed,2024-02-09
15,8986,2023-10-27,138,3,167.78,503.34,Completed,2023-10-30
16,2941,2025-09-23,475,4,371.65,1486.6,Completed,2025-09-25
17,7652,2024-03-03,294,8,107.93,863.44,Completed,2024-03-08
18,2998,2024-01-08,216,10,65.07,650.7,Pending,
19,1293,2023-07-09,356,5,78.21,391.05,Cancelled,
20,3091,2024-04-27,82,4,139.73,558.92,Completed,2024-05-01
21,9436,2025-08-27,183,5,63.75,318.75,Completed,2025-08-30
22,1605,2025-06-28,123,8,622.17,4977.36,Pending,
23,5826,2024-04-14,30,7,87.44,612.08,Completed,2024-04-15
24,1400,2023-09-03,268,8,28.79,230.32,Completed,2023-09-05
25,4725,2023-01-03,172,5,26.05,130.25,Completed,2023-01-04
26,9093,2024-04-14,367,3,130.2,390.6,Completed,2024-04-15
27,9509,2025-03-16,383,9,114.33,1028.97,Pending,
28,8578,2023-02-03,39,10,33.1,331.0,Pending,
29,8354,2023-11-17,303,8,78.36,626.88,Completed,2023-11-21
30,5490,2024-06-11,427,4,694.52,2778.08,Completed,2024-06-14
31,354,2023-03-08,70,1,124.56,124.56,Completed,2023-03-11
