product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Wireless Bluetooth Headphones 1,Electronics,1559.21,741.48,2165,173
2,Classic Cotton T-Shirt 2,Clothing,178.88,60.4,2632,196
3,Ceramic Table Lamp 3,Home & Garden,611.78,375.89,2566,34
4,Hardcover Mystery Novel 4,Books,38.78,17.39,912,187
5,Yoga Mat with Carry Strap 5,Sports,389.88,245.28,2727,94
6,Vitamin C Face Serum 6,Beauty,47.09,24.57,4440,22
7,Wooden Building Block Set 7,Toys,125.52,69.37,826,154
8,Organic Coffee Beans 8,Food & Beverage,29.82,20.52,2228,180
9,4K Streaming Media Player 9,Electronics,1567.85,592.42,1819,99
10,Slim Fit Denim Jeans 10,Clothing,25.29,9.15,3717,140
11,Stainless Steel Cookware Set 11,Home & Garden,598.87,411.43,2054,72
12,Beginner Python Workbook 12,Books,32.78,15.99,3979,46
13,Adjustable Dumbbell Pair 13,Sports,86.65,42.48,1651,53
14,Mineral Sunscreen SPF 50 14,Beauty,123.21,58.51,803,169
15,Remote Control Race Car 15,Toys,107.44,45.66,3839,168
16,Dark Chocolate Gift Box 16,Food & Beverage,61.33,27.9,4491,65
17,USB-C Laptop Charger 17,Electronics,1380.86,491.45,4164,48
18,Waterproof Hiking Jacket 18,Clothing,16.73,10.29,3902,136
19,Indoor Herb Garden Kit 19,Home & Garden,567.67,347.58,2778,97
20,Travel Photography Guide 20,Books,47.66,16.96,1227,31
21,Insulated Water Bottle 21,Sports,404.36,197.5,4276,117
22,Hydrating Lip Balm Set 22,Beauty,139.58,77.31,2827,115
23,Plush Stuffed Animal 23,Toys,87.41,36.85,3014,15
24,Sparkling Mineral Water Pack 24,Food & Beverage,35.57,13.72,1383,88
25,Noise-Cancelling Earbuds 25,Electronics,1714.13,674.64,4109,21
26,Merino Wool Sweater 26,Clothing,81.13,33.87,2172,136
27,Memory Foam Pillow 27,Home & Garden,450.94,276.68,4981,136
28,Paperback Historical Fiction 28,Books,35.48,22.2,1606,41
29,Trail Running Shoes 29,Sports,23.4,7.86,3858,147
30,Gentle Foaming Cleanser 30,Beauty,87.44,31.87,4504,105
31,Strategy Board Game 31,Toys,29.63,17.14,2478,95
32,Gourmet Pasta Sauce 32,Food & Beverage,31.67,13.32,3419,130
33,Portable Power Bank 33,Electronics,755.53,253.15,1713,32
34,Running Shorts 34,Clothing,241.05,159.92,2475,143
35,Bamboo Cutting Board 35,Home & Garden,221.51,152.33,1317,158
36,Children's Picture Book 36,Books,58.77,28.19,3685,61
37,Resistance Band Set 37,Sports,66.87,44.2,638,97
38,Hair Repair Oil 38,Beauty,42.81,18.08,4044,120
39,STEM Robot Kit 39,Toys,33.1,21.27,97,154
40,Mixed Nuts Variety Pack 40,Food & Beverage,55.36,26.18,1543,129
41,Smart Home Speaker 41,Electronics,1188.99,665.76,3144,26
42,Linen Button-Down Shirt 42,Clothing,112.71,35.69,897,104
43,Outdoor String Lights 43,Home & Garden,271.93,97.3,3389,29
44,Personal Finance Handbook 44,Books,49.07,18.07,1500,186
45,Soccer Training Ball 45,Sports,352.83,154.8,3062,122
46,Makeup Brush Kit 46,Beauty,11.92,8.15,2091,102
47,Puzzle 1000 Pieces 47,Toys,119.15,39.69,1379,102
48,Herbal Tea Sampler 48,Food & Beverage,39.35,26.57,805,119
49,Wireless Mouse and Keyboard Kit 49,Electronics,973.3,395.93,4769,73
